model,params,checkpoint,training_steps,n_rounds,noise,family
EleutherAI/pythia-70M-deduped,70426624,step63000,63000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,4,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,4,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,4,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,4,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,4,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,3,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,2,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,2,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,3,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,2,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,3,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,2,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,3,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,3,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step75000,75000,2,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step99000,99000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step103000,103000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step115000,115000,1,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step119000,119000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step123000,123000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step127000,127000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step135000,135000,0,0.3,Second Best
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.1,Win-win
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.1,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.1,Unfair
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.1,Biased
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.1,Second Best
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.3,Win-win
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.3,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.3,Unfair
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.3,Biased
EleutherAI/pythia-70M-deduped,70426624,step139000,139000,0,0.3,Second Best
